time,open,high,low,close,tick_volume,spread,real_volume
2025-05-13 09:00:00,3256.78,3265.43,3247.37,3262.14,4681,5,0
2025-05-13 10:00:00,3262.1,3264.87,3254.34,3259.0,4524,5,0
2025-05-13 11:00:00,3259.2,3261.1,3250.42,3255.59,4164,17,0
2025-05-13 12:00:00,3255.49,3256.63,3250.53,3253.39,3880,10,0
2025-05-13 13:00:00,3253.41,3256.28,3251.17,3252.82,3640,9,0
2025-05-13 14:00:00,3252.82,3258.62,3248.8,3249.14,4138,6,0
2025-05-13 15:00:00,3249.18,3249.93,3237.38,3242.1,5408,5,0
2025-05-13 16:00:00,3241.67,3246.81,3227.39,3227.55,5787,11,0
2025-05-13 17:00:00,3227.65,3248.72,3225.57,3242.5,5487,6,0
2025-05-13 18:00:00,3243.0,3255.86,3242.15,3253.44,5079,5,0
2025-05-13 19:00:00,3253.35,3257.82,3248.81,3251.03,4519,5,0
2025-05-13 20:00:00,3251.0,3252.69,3242.03,3247.06,4176,6,0
2025-05-13 21:00:00,3247.05,3250.78,3245.68,3248.71,3768,15,0
2025-05-13 22:00:00,3248.9,3251.13,3246.35,3249.52,3697,15,0
2025-05-13 23:00:00,3249.48,3254.82,3248.12,3249.98,2124,9,0
2025-05-14 01:00:00,3249.67,3254.62,3249.47,3254.55,1695,8,0
2025-05-14 02:00:00,3254.47,3257.05,3252.12,3254.38,1949,15,0
2025-05-14 03:00:00,3254.5,3254.64,3240.6,3243.78,3755,6,0
2025-05-14 04:00:00,3244.06,3251.56,3237.32,3238.95,4403,5,0
2025-05-14 05:00:00,3238.59,3241.45,3229.44,3232.79,4140,10,0
2025-05-14 06:00:00,3232.77,3233.69,3226.29,3228.38,3760,5,0
2025-05-14 07:00:00,3228.45,3230.35,3222.64,3223.97,3406,6,0
2025-05-14 08:00:00,3223.95,3234.34,3221.83,3233.78,3782,6,0
2025-05-14 09:00:00,3233.85,3236.73,3227.71,3227.98,3930,10,0
2025-05-14 10:00:00,3228.63,3238.89,3224.28,3238.14,4155,5,0
2025-05-14 11:00:00,3237.89,3243.79,3230.79,3232.55,4257,8,0
2025-05-14 12:00:00,3232.58,3236.52,3229.18,3232.28,4059,7,0
2025-05-14 13:00:00,3232.2,3236.57,3229.64,3235.75,3594,15,0
2025-05-14 14:00:00,3235.77,3239.2,3219.5,3220.16,3935,8,0
2025-05-14 15:00:00,3220.67,3222.49,3184.14,3184.73,5157,8,0
2025-05-14 16:00:00,3184.36,3198.29,3175.03,3191.44,5183,5,0
2025-05-14 17:00:00,3191.46,3194.3,3179.39,3181.86,4815,5,0
2025-05-14 18:00:00,3181.83,3186.61,3179.16,3182.59,4339,6,0
2025-05-14 19:00:00,3183.04,3190.94,3173.84,3188.55,4217,6,0
2025-05-14 20:00:00,3188.59,3190.43,3180.97,3181.93,3750,7,0
2025-05-14 21:00:00,3182.28,3183.04,3171.74,3171.9,3617,6,0
2025-05-14 22:00:00,3171.89,3181.53,3168.03,3180.7,3863,5,0
2025-05-14 23:00:00,3180.68,3183.22,3176.92,3177.4,2261,15,0
2025-05-15 01:00:00,3178.39,3184.01,3177.74,3182.72,2003,9,0
2025-05-15 02:00:00,3182.65,3187.29,3181.25,3186.05,2109,15,0
2025-05-15 03:00:00,3185.78,3187.88,3180.3,3187.81,3367,6,0
2025-05-15 04:00:00,3187.75,3192.65,3171.35,3172.37,4418,14,0
2025-05-15 05:00:00,3172.37,3175.57,3150.17,3153.85,4443,14,0
2025-05-15 06:00:00,3154.17,3157.01,3148.38,3150.54,3682,12,0
2025-05-15 07:00:00,3150.42,3152.53,3135.63,3138.61,3560,5,0
2025-05-15 08:00:00,3138.78,3143.03,3123.59,3128.75,3996,5,0
2025-05-15 09:00:00,3128.76,3153.81,3120.78,3149.92,4820,5,0
2025-05-15 10:00:00,3149.73,3151.91,3130.63,3142.34,4493,7,0
2025-05-15 11:00:00,3142.27,3164.14,3139.16,3162.62,4297,5,0
2025-05-15 12:00:00,3162.58,3171.48,3159.38,3165.3,4081,5,0
2025-05-15 13:00:00,3165.24,3179.08,3164.2,3178.37,3846,5,0
2025-05-15 14:00:00,3178.31,3180.02,3172.5,3179.17,3826,6,0
2025-05-15 15:00:00,3179.0,3189.84,3177.59,3188.87,4469,5,0
2025-05-15 16:00:00,3189.18,3199.61,3185.3,3192.43,5112,5,0
2025-05-15 17:00:00,3192.17,3207.15,3190.52,3205.26,4955,13,0
2025-05-15 18:00:00,3205.32,3219.97,3204.61,3219.75,4548,5,0
2025-05-15 19:00:00,3219.76,3222.63,3215.9,3222.4,3784,11,0
2025-05-15 20:00:00,3222.48,3229.06,3216.5,3221.17,4001,5,0
2025-05-15 21:00:00,3221.15,3225.96,3219.89,3223.22,3411,8,0
2025-05-15 22:00:00,3223.26,3232.66,3222.29,3231.99,3599,11,0
2025-05-15 23:00:00,3231.85,3240.5,3231.13,3239.64,2563,10,0
2025-05-16 01:00:00,3238.34,3252.14,3236.99,3251.12,3245,8,0
2025-05-16 02:00:00,3251.19,3251.21,3236.59,3237.16,3459,5,0
2025-05-16 03:00:00,3237.2,3244.0,3232.06,3243.15,4465,7,0
2025-05-16 04:00:00,3243.16,3244.41,3215.01,3222.39,5246,5,0
2025-05-16 05:00:00,3222.11,3227.44,3212.92,3215.38,4375,12,0
2025-05-16 06:00:00,3215.34,3217.41,3206.57,3211.94,4278,15,0
2025-05-16 07:00:00,3211.79,3222.32,3211.75,3219.64,3500,7,0
2025-05-16 08:00:00,3219.58,3222.33,3212.04,3218.59,4016,6,0
2025-05-16 09:00:00,3218.26,3231.23,3212.88,3214.88,4643,5,0
2025-05-16 10:00:00,3214.95,3218.03,3205.41,3207.8,4430,5,0
2025-05-16 11:00:00,3207.68,3209.21,3195.65,3207.44,4376,5,0
2025-05-16 12:00:00,3207.32,3212.88,3203.83,3209.27,3938,5,0
2025-05-16 13:00:00,3209.4,3211.1,3169.14,3175.51,4841,5,0
2025-05-16 14:00:00,3175.97,3179.17,3154.35,3163.16,4845,5,0
2025-05-16 15:00:00,3163.3,3181.94,3154.87,3177.45,5166,5,0
2025-05-16 16:00:00,3177.5,3186.68,3169.47,3180.45,5501,5,0
2025-05-16 17:00:00,3180.63,3188.52,3166.26,3173.24,5457,5,0
2025-05-16 18:00:00,3173.27,3185.11,3172.88,3183.53,4584,5,0
2025-05-16 19:00:00,3183.41,3189.75,3180.46,3189.33,4493,7,0
2025-05-16 20:00:00,3189.32,3192.16,3183.47,3189.4,4214,5,0
2025-05-16 21:00:00,3189.52,3191.13,3184.84,3187.45,3632,15,0
2025-05-16 22:00:00,3187.51,3195.72,3187.51,3192.6,3718,14,0
2025-05-16 23:00:00,3192.57,3202.87,3192.2,3201.0,2725,8,0
2025-05-19 01:00:00,3219.73,3240.78,3206.42,3239.27,4685,5,0
2025-05-19 02:00:00,3239.23,3245.21,3226.63,3234.86,3890,5,0
2025-05-19 03:00:00,3234.94,3249.75,3233.5,3246.44,4717,5,0
2025-05-19 04:00:00,3246.12,3246.42,3214.68,3218.39,5150,5,0
2025-05-19 05:00:00,3218.12,3230.05,3217.12,3228.42,4207,15,0
2025-05-19 06:00:00,3228.49,3230.48,3208.12,3212.23,3774,5,0
2025-05-19 07:00:00,3212.22,3218.1,3206.69,3215.89,3008,7,0
2025-05-19 08:00:00,3215.91,3224.28,3214.91,3224.03,3509,6,0
2025-05-19 09:00:00,3223.97,3231.62,3220.29,3224.15,4812,5,0
2025-05-19 10:00:00,3224.05,3234.6,3224.05,3232.33,4741,10,0
2025-05-19 11:00:00,3232.39,3244.89,3230.07,3244.46,4433,7,0
2025-05-19 12:00:00,3244.7,3247.62,3233.75,3242.01,4322,5,0
2025-05-19 13:00:00,3242.01,3245.17,3234.29,3241.74,4011,9,0
2025-05-19 14:00:00,3241.73,3248.47,3239.18,3243.78,3805,7,0
2025-05-19 15:00:00,3243.77,3244.42,3228.9,3229.28,4618,5,0
2025-05-19 16:00:00,3229.23,3241.63,3224.6,3229.93,5280,10,0
2025-05-19 17:00:00,3229.9,3236.01,3217.34,3233.9,5126,13,0
2025-05-19 18:00:00,3233.91,3239.76,3229.7,3231.57,4615,12,0
2025-05-19 19:00:00,3231.51,3234.21,3228.1,3231.85,4125,9,0
2025-05-19 20:00:00,3231.87,3233.19,3225.57,3226.38,3963,5,0
2025-05-19 21:00:00,3226.46,3235.13,3225.18,3233.47,3577,17,0
2025-05-19 22:00:00,3233.49,3235.78,3231.66,3233.04,3353,13,0
2025-05-19 23:00:00,3233.12,3233.8,3228.05,3230.12,2114,17,0
2025-05-20 01:00:00,3230.75,3230.78,3224.68,3226.77,1740,7,0
2025-05-20 02:00:00,3226.77,3227.5,3219.08,3222.53,2696,12,0
2025-05-20 03:00:00,3223.01,3224.13,3214.33,3222.79,3888,16,0
2025-05-20 04:00:00,3223.3,3232.65,3220.63,3221.07,4692,5,0
2025-05-20 05:00:00,3221.12,3222.98,3206.49,3206.71,4624,11,0
2025-05-20 06:00:00,3206.57,3214.12,3204.57,3211.42,3972,5,0
2025-05-20 07:00:00,3211.39,3218.01,3211.22,3217.28,3481,5,0
2025-05-20 08:00:00,3217.1,3219.81,3209.92,3213.81,4219,9,0
2025-05-20 09:00:00,3213.17,3219.19,3208.7,3209.76,4483,15,0
2025-05-20 10:00:00,3209.76,3225.36,3207.97,3222.87,4417,10,0
2025-05-20 11:00:00,3222.91,3235.83,3218.3,3235.83,4256,5,0
2025-05-20 12:00:00,3235.95,3239.29,3230.6,3236.36,4439,5,0
2025-05-20 13:00:00,3236.33,3238.41,3231.94,3235.3,3895,5,0
